Temp,Resistance
310.15,0.225
310.15,0.330
310.15,0.243
310.15,0.267
310.15,0.338
310.15,0.464
310.15,0.401
310.15,0.324
310.15,0.312
310.15,0.366
310.15,0.354
310.15,0.367
310.15,0.314
309.15,0.272
309.15,0.303
309.15,0.287
309.15,0.308
309.15,0.331
309.15,0.331
309.15,0.327
309.15,0.290
309.15,0.286
309.15,0.280
309.15,0.300
309.15,0.330
309.15,0.310
309.15,0.328
309.15,0.294
309.15,0.276
308.15,0.305
308.15,0.293
308.15,0.324
308.15,0.306
308.15,0.274
308.15,0.286
308.15,0.482
308.15,0.376
308.15,0.076
308.15,0.135
308.15,0.052
308.15,0.149
308.15,0.166
308.15,0.483
308.15,0.381
308.15,0.266
308.15,0.024
308.15,0.197
308.15,0.264
307.15,0.247
307.15,0.274
307.15,0.235
307.15,0.224
307.15,0.285
307.15,0.279
307.15,0.299
307.15,0.195
307.15,0.027
307.15,0.170
307.15,0.338
307.15,0.178
307.15,0.233
307.15,0.482
307.15,0.303
307.15,0.443
307.15,0.380
307.15,0.106
307.15,0.255
307.15,0.363
307.15,0.223
307.15,0.188
307.15,0.335
307.15,0.188
306.15,0.070
306.15,0.219
306.15,0.145
306.15,0.193
306.15,0.188
306.15,0.228
306.15,0.229
306.15,0.218
306.15,0.267
306.15,0.253
306.15,0.246
306.15,0.279
306.15,0.383
306.15,0.379
306.15,0.357
306.15,0.370
306.15,0.370
306.15,0.381
306.15,0.396
306.15,0.388
306.15,0.432
306.15,0.395
306.15,0.367
305.15,0.389
305.15,0.367
305.15,0.382
305.15,0.357
305.15,0.331
305.15,0.335
305.15,0.335
305.15,0.364
305.15,0.354
305.15,0.370
305.15,0.354
305.15,0.374
305.15,0.423
305.15,0.475
305.15,0.445
305.15,0.457
305.15,0.091
305.15,0.101
305.15,0.050
305.15,0.229
305.15,0.326
305.15,0.110
305.15,0.081
305.15,0.128
304.15,0.127
304.15,0.243
304.15,0.476
304.15,0.269
304.15,0.274
304.15,0.297
304.15,0.290
304.15,0.301
304.15,0.298
304.15,0.351
304.15,0.288
304.15,0.219
